account_id,customer_id,product_id,account_status,opened_at,current_balance,currency
ACCT0000001,CUST000001,PRD002,active,2022-07-12,12708.93,CAD
ACCT0000002,CUST000002,PRD003,active,2024-10-11,4771.7,CAD
ACCT0000003,CUST000002,PRD006,active,2021-08-20,14596.11,CAD
ACCT0000004,CUST000002,PRD002,active,2023-06-11,25537.87,CAD
ACCT0000005,CUST000003,PRD001,active,2025-08-30,3573.08,CAD
ACCT0000006,CUST000003,PRD002,active,2023-08-10,3573.29,CAD
ACCT0000007,CUST000004,PRD002,active,2021-11-10,26240.16,CAD
ACCT0000008,CUST000004,PRD005,active,2022-12-21,16092.93,CAD
ACCT0000009,CUST000005,PRD006,active,2026-05-19,631.57,CAD
ACCT0000010,CUST000006,PRD003,active,2025-09-23,13282.0,CAD
ACCT0000011,CUST000006,PRD005,active,2025-03-24,707.28,CAD
ACCT0000012,CUST000007,PRD003,active,2026-02-18,678.38,CAD
ACCT0000013,CUST000007,PRD002,active,2023-04-01,9524.53,CAD
ACCT0000014,CUST000007,PRD001,active,2025-03-14,-17416.0,CAD
ACCT0000015,CUST000007,PRD004,active,2025-04-05,15061.47,CAD
ACCT0000016,CUST000008,PRD005,active,2024-08-30,528.59,CAD
ACCT0000017,CUST000009,PRD001,active,2026-05-10,-6160.39,CAD
ACCT0000018,CUST000009,PRD005,active,2024-07-09,10428.09,CAD
ACCT0000019,CUST000010,PRD006,active,2026-03-24,4850.3,CAD
ACCT0000020,CUST000010,PRD005,active,2025-04-20,11153.8,CAD
ACCT0000021,CUST000011,PRD004,dormant,2023-09-14,24820.61,CAD
ACCT0000022,CUST000012,PRD004,active,2025-08-17,3677.8,CAD
ACCT0000023,CUST000012,PRD002,active,2022-11-15,7344.1,CAD
ACCT0000024,CUST000012,PRD003,active,2021-07-16,11309.35,CAD
ACCT0000025,CUST000013,PRD001,active,2021-10-28,-304.78,CAD
ACCT0000026,CUST000014,PRD001,active,2023-06-20,7886.53,CAD
ACCT0000027,CUST000014,PRD002,active,2022-04-29,-7887.42,CAD
ACCT0000028,CUST000015,PRD002,active,2025-03-22,11196.23,CAD
ACCT0000029,CUST000015,PRD006,active,2024-07-12,1007.98,CAD
ACCT0000030,CUST000016,PRD004,closed,2026-01-07,2853.83,CAD
ACCT0000031,CUST000016,PRD006,active,2024-10-25,1021.33,CAD
ACCT0000032,CUST000016,PRD003,closed,2024-06-27,29653.48,CAD
ACCT0000033,CUST000017,PRD003,active,2025-06-17,6331.28,CAD
ACCT0000034,CUST000017,PRD006,active,2024-03-16,6721.39,CAD
ACCT0000035,CUST000018,PRD005,active,2022-03-05,16781.81,CAD
ACCT0000036,CUST000019,PRD007,active,2026-03-19,8760.55,CAD
ACCT0000037,CUST000019,PRD005,active,2025-11-26,9110.79,CAD
ACCT0000038,CUST000019,PRD001,active,2025-01-21,-17995.88,CAD
ACCT0000039,CUST000020,PRD002,active,2025-03-06,-10102.33,CAD
ACCT0000040,CUST000020,PRD004,active,2025-05-29,8960.77,CAD
ACCT0000041,CUST000020,PRD001,active,2021-12-27,15730.83,CAD
ACCT0000042,CUST000021,PRD007,active,2023-11-26,8642.1,CAD
ACCT0000043,CUST000022,PRD005,active,2023-08-02,5054.4,CAD
ACCT0000044,CUST000022,PRD004,dormant,2024-06-25,2736.2,CAD
ACCT0000045,CUST000022,PRD001,dormant,2022-04-13,-11981.52,CAD
