transaction_id,account_id,customer_id,transaction_timestamp,transaction_type,channel,merchant_category,amount,currency,is_international,ingestion_source
TXN000000001,ACCT0000003,CUST000002,2026-05-12 17:34:29,purchase,web,retail,106.18,CAD,False,payments_api
TXN000000002,ACCT0001898,CUST000942,2025-11-15 17:34:29,purchase,api,transportation,300.78,CAD,False,payments_api
TXN000000003,ACCT0001315,CUST000659,2025-10-09 17:34:29,withdrawal,point_of_sale,utilities,65.42,CAD,False,payments_api
TXN000000004,ACCT0000338,CUST000166,2025-11-08 17:34:29,payment,point_of_sale,retail,961.94,CAD,False,card_event_stream
TXN000000005,ACCT0001690,CUST000843,2025-08-04 17:34:29,purchase,point_of_sale,health,350.89,CAD,False,batch_core_banking
TXN000000006,ACCT0001705,CUST000850,2025-08-10 17:34:29,transfer,branch,travel,256.15,CAD,False,batch_core_banking
TXN000000007,ACCT0000379,CUST000185,2026-03-13 17:34:29,payment,atm,utilities,84.67,CAD,False,card_event_stream
TXN000000008,ACCT0000603,CUST000299,2026-03-05 17:34:29,withdrawal,branch,financial_services,123.78,CAD,False,card_event_stream
TXN000000009,ACCT0000558,CUST000275,2026-02-05 17:34:29,deposit,branch,transportation,1449.64,CAD,True,card_event_stream
TXN000000010,ACCT0001126,CUST000560,2025-06-23 17:34:29,deposit,mobile_app,grocery,2424.59,CAD,False,card_event_stream
TXN000000011,ACCT0001475,CUST000739,2025-09-12 17:34:29,purchase,api,utilities,191.03,CAD,False,payments_api
TXN000000012,ACCT0001252,CUST000628,2026-02-16 17:34:29,purchase,atm,transportation,584.49,CAD,False,batch_core_banking
TXN000000013,ACCT0000727,CUST000360,2026-01-20 17:34:29,payment,api,retail,1365.46,CAD,False,batch_core_banking
TXN000000014,ACCT0000610,CUST000305,2025-12-24 17:34:29,purchase,point_of_sale,travel,524.12,CAD,False,card_event_stream
TXN000000015,ACCT0001358,CUST000681,2025-08-04 17:34:29,payment,web,restaurant,2315.05,CAD,False,card_event_stream
TXN000000016,ACCT0000818,CUST000410,2025-12-22 17:34:29,purchase,mobile_app,travel,158.22,CAD,False,payments_api
TXN000000017,ACCT0001682,CUST000839,2025-11-16 17:34:29,withdrawal,atm,transportation,3.08,CAD,False,card_event_stream
TXN000000018,ACCT0000394,CUST000193,2025-06-11 17:34:29,purchase,api,health,295.64,CAD,False,card_event_stream
TXN000000019,ACCT0000236,CUST000121,2025-10-29 17:34:29,deposit,atm,grocery,323.81,CAD,False,batch_core_banking
TXN000000020,ACCT0001152,CUST000576,2026-03-17 17:34:29,deposit,point_of_sale,travel,1628.72,CAD,False,payments_api
TXN000000021,ACCT0000366,CUST000178,2025-07-14 17:34:29,purchase,point_of_sale,travel,226.26,CAD,True,card_event_stream
TXN000000022,ACCT0000629,CUST000313,2026-05-24 17:34:29,deposit,atm,financial_services,2154.19,CAD,False,batch_core_banking
TXN000000023,ACCT0001598,CUST000801,2025-06-29 17:34:29,purchase,mobile_app,health,744.72,CAD,False,card_event_stream
TXN000000024,ACCT0001602,CUST000804,2025-12-09 17:34:29,deposit,mobile_app,transportation,1553.17,CAD,False,payments_api
TXN000000025,ACCT0001896,CUST000941,2026-04-30 17:34:29,transfer,api,restaurant,7.06,CAD,False,payments_api
TXN000000026,ACCT0000741,CUST000367,2026-03-19 17:34:29,fee,web,utilities,8.87,CAD,False,card_event_stream
TXN000000027,ACCT0000919,CUST000460,2026-05-24 17:34:29,fee,atm,restaurant,0.15,CAD,False,batch_core_banking
TXN000000028,ACCT0000261,CUST000134,2026-03-27 17:34:29,withdrawal,point_of_sale,transportation,49.78,CAD,False,batch_core_banking
TXN000000029,ACCT0001113,CUST000554,2025-09-11 17:34:29,purchase,atm,retail,15.87,CAD,True,batch_core_banking
TXN000000030,ACCT0000048,CUST000025,2026-02-22 17:34:29,deposit,web,travel,728.32,CAD,False,payments_api
TXN000000031,ACCT0000832,CUST000418,2025-07-16 17:34:29,payment,mobile_app,retail,1337.12,CAD,False,batch_core_banking
TXN000000032,ACCT0000760,CUST000377,2025-06-25 17:34:29,purchase,web,utilities,79.16,CAD,False,payments_api
TXN000000033,ACCT0000781,CUST000388,2025-09-24 17:34:29,purchase,branch,travel,367.84,CAD,False,payments_api
TXN000000034,ACCT0000997,CUST000496,2026-01-07 17:34:29,purchase,atm,retail,110.05,CAD,False,batch_core_banking
TXN000000035,ACCT0000676,CUST000333,2025-10-22 17:34:29,deposit,web,grocery,1191.63,CAD,False,batch_core_banking
TXN000000036,ACCT0001339,CUST000672,2025-08-03 17:34:29,deposit,branch,grocery,904.89,CAD,False,payments_api
TXN000000037,ACCT0000508,CUST000247,2025-11-27 17:34:29,deposit,web,financial_services,1339.67,CAD,False,card_event_stream
TXN000000038,ACCT0000655,CUST000323,2026-03-07 17:34:29,purchase,branch,restaurant,299.77,CAD,False,payments_api
TXN000000039,ACCT0000217,CUST000112,2026-04-25 17:34:29,deposit,web,utilities,419.58,CAD,False,payments_api
TXN000000040,ACCT0001111,CUST000554,2026-03-17 17:34:29,purchase,branch,travel,41.37,CAD,False,batch_core_banking
TXN000000041,ACCT0000667,CUST000328,2025-09-22 17:34:29,payment,atm,financial_services,926.65,CAD,False,batch_core_banking
TXN000000042,ACCT0000014,CUST000007,2025-09-10 17:34:29,transfer,api,travel,199.55,CAD,False,card_event_stream
TXN000000043,ACCT0000105,CUST000053,2025-11-30 17:34:29,fee,point_of_sale,retail,4.9,CAD,True,batch_core_banking
TXN000000044,ACCT0001704,CUST000850,2026-01-29 17:34:29,transfer,mobile_app,transportation,0.47,CAD,False,payments_api
TXN000000045,ACCT0000556,CUST000274,2026-01-29 17:34:29,purchase,api,restaurant,311.11,CAD,False,batch_core_banking
TXN000000046,ACCT0000463,CUST000228,2025-10-24 17:34:29,payment,mobile_app,grocery,1436.31,CAD,False,batch_core_banking
TXN000000047,ACCT0001592,CUST000797,2026-04-20 17:34:29,payment,atm,health,1374.23,CAD,False,batch_core_banking
TXN000000048,ACCT0000848,CUST000425,2026-04-02 17:34:29,purchase,api,financial_services,305.71,CAD,False,payments_api
TXN000000049,ACCT0001296,CUST000650,2026-02-16 17:34:29,withdrawal,branch,financial_services,78.4,CAD,False,card_event_stream
TXN000000050,ACCT0001563,CUST000784,2026-03-06 17:34:29,purchase,atm,restaurant,199.81,CAD,False,batch_core_banking
TXN000000051,ACCT0001101,CUST000549,2026-04-08 17:34:29,fee,web,grocery,8.48,CAD,False,batch_core_banking
TXN000000052,ACCT0001949,CUST000966,2025-08-10 17:34:29,transfer,point_of_sale,transportation,171.03,CAD,False,payments_api
TXN000000053,ACCT0000555,CUST000273,2025-07-03 17:34:29,fee,point_of_sale,financial_services,6.09,CAD,False,batch_core_banking
TXN000000054,ACCT0001966,CUST000976,2025-09-13 17:34:29,payment,branch,health,994.94,CAD,False,payments_api
TXN000000055,ACCT0000727,CUST000360,2026-04-23 17:34:29,purchase,atm,retail,79.12,CAD,False,batch_core_banking
TXN000000056,ACCT0001451,CUST000726,2025-09-05 17:34:29,purchase,branch,transportation,437.23,CAD,False,batch_core_banking
TXN000000057,ACCT0000361,CUST000177,2025-12-09 17:34:29,withdrawal,mobile_app,restaurant,323.03,CAD,False,card_event_stream
TXN000000058,ACCT0000848,CUST000425,2025-11-09 17:34:29,payment,api,health,2068.86,CAD,True,batch_core_banking
TXN000000059,ACCT0001173,CUST000586,2025-08-06 17:34:29,purchase,web,travel,394.31,CAD,False,batch_core_banking
TXN000000060,ACCT0000508,CUST000247,2026-04-01 17:34:29,transfer,point_of_sale,financial_services,130.39,CAD,False,card_event_stream
TXN000000061,ACCT0000932,CUST000468,2025-12-05 17:34:29,purchase,atm,travel,155.38,CAD,False,batch_core_banking
TXN000000062,ACCT0000039,CUST000020,2025-12-10 17:34:29,purchase,api,grocery,32.06,CAD,False,batch_core_banking
TXN000000063,ACCT0000770,CUST000383,2025-07-19 17:34:29,payment,api,grocery,915.53,CAD,False,batch_core_banking
